MOVIES,YEAR,GENRE,RATING,Content,RunTime,VOTES
Blood Red Sky,2021,Horror,6.1,Movie,121,21062
Masters of the Universe: Revelation,2021,Animation,5,Movie,25,17870
The Walking Dead,2010,Horror,8.2,Movie,44,885805
Rick and Morty,2013,Animation,9.2,Movie,23,414849
Army of Thieves,2021,Horror,7.1,Movie,69,789
Outer Banks,2020,Crime,7.6,Movie,50,25858
The Last Letter from Your Lover,2021,Romance,6.8,Movie,110,5283
Dexter,2006,Crime,8.6,Movie,53,665387
Never Have I Ever,2020,Comedy,7.9,Movie,30,34530
Virgin River,2019,Romance,7.4,Movie,44,27279
Gunpowder Milkshake,2021,Action,6,Movie,114,17989
Lucifer,2016,Crime,8.1,Movie,42,264222
Fear Street: 1994,2021,Horror,6.2,Movie,107,50148
Sex/Life,2021,Romance,5.4,Movie,69,12172
American Horror Story,2011,Horror,8,Movie,60,286488
Grey's Anatomy,2005,Romance,7.5,Movie,41,266258
Breaking Bad,2008,Thriller,9.4,Movie,49,1552311
The Good Doctor,2017,Drama,8.1,Movie,41,70871
Atypical,2017,Comedy,8.3,Movie,30,71544
Stranger Things,2016,Horror,8.7,Movie,51,885856
Fear Street: 1978,2021,Horror,6.8,Movie,109,36634
Friends,1994,Romance,8.9,Movie,22,880918
The Flash,2014,Action,7.6,Movie,43,320264
Peaky Blinders,2013,Crime,8.8,Movie,60,393414
He-Man and the Masters of the Universe,2021,Animation,7.1,Movie,69,789
Chernobyl,2021,Historical,5,Movie,136,4681
Vikings,2013,Action,8.5,Movie,44,459913
Better Call Saul,2015,Crime,8.8,Movie,46,347857
Supernatural,2005,Horror,8.4,Movie,44,404273
The Blacklist,2013,Crime,8,Movie,43,213522
Fear Street: 1666,2021,Horror,6.7,Movie,114,27447
Animal Kingdom,2016,Crime,8.2,Movie,60,26926
Brooklyn Nine-Nine,2013,Comedy,8.4,Movie,22,248583
NCIS: Naval Criminal Investigative Service,2003,Crime,7.7,Movie,60,125619
Kingdom,2019,Historical,8.4,Movie,45,34906
Modern Family,2009,Romance,8.4,Movie,22,378030
Titans,2018,Action,7.7,Movie,45,73656
The Witcher,2019,Action,8.2,Movie,60,336484
Downton Abbey,2010,Romance,8.7,Movie,58,171804
Shingeki no kyojin,2013,Animation,9,Movie,24,242582
Suits,2011,Comedy,8.4,Movie,44,374263
La casa de papel,2017,Crime,8.3,Movie,70,341858
Schitt's Creek,2015,Comedy,8.5,Movie,22,90728
Outlander,2014,Romance,8.4,Movie,64,134991
The Last Kingdom,2015,Historical,8.4,Movie,60,94650
Black Mirror,2011,Sci-Fi,8.8,Movie,60,469407
Ozark,2017,Thriller,8.4,Movie,60,206090
The Crown,2016,Biography,8.6,Movie,58,169517
